"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1",100,100,100,100,100,100,100,100,100,100
"2",1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
"3",1743,1743,1743,1743,1743,1743,1743,1743,1743,1743
"4",2091,2091,2091,2091,2091,2091,2091,2091,2091,2091
"5",2374,2374,2374,2374,2374,2374,2374,2374,2374,2374
"6",1404,1404,1404,1404,1404,1404,1404,1404,1404,1404
"7",306,306,1344,306,306,306,306,1344,1344,1344
"8",1344,1344,306,1344,1344,1344,1344,306,306,306
"9",2326,2326,2326,2326,2326,2326,2326,2326,2326,2326
"10",2647,2647,2647,2647,2647,2647,2647,2647,2647,2647
"11",1929,1929,1929,1929,1929,1929,1929,1929,1929,1929
"12",279,279,279,279,279,279,279,279,279,279
"13",286,286,286,286,286,286,286,286,286,286
"14",2227,2227,2227,2227,2227,2227,2227,2227,2227,2227
"15",167,167,167,167,167,3073,167,167,167,3073
"16",3073,3073,3073,3073,3073,167,3073,3073,3073,167
"17",2339,2339,2339,2339,2339,2339,2339,2339,2339,2339
"18",2490,2490,2490,2490,2490,2490,2490,2490,2490,2490
"19",1267,1267,1267,1267,1267,1267,1267,1267,1267,1267
"20",366,366,366,366,366,366,366,366,366,366
"21",1244,1244,1244,1244,1244,1244,1244,1244,1244,1244
"22",1846,1846,1846,1846,1846,1846,1846,1846,1846,1846
"23",2725,2725,2725,2725,2725,2725,2725,2725,2725,2725
"24",423,423,423,423,423,423,423,423,423,423
"25",1057,1057,1057,1057,1057,1057,1057,1057,1057,1057
"26",3053,3053,3053,3053,3053,3053,3053,3053,3053,3053
"27",775,775,775,775,775,775,775,775,775,775
"28",320,320,320,320,320,320,320,320,320,320
"29",411,3060,3060,3060,1386,1386,1386,411,2014,2014
"30",3060,1386,2014,411,3060,2014,411,2014,411,3060
"31",1386,411,411,1386,411,411,3060,3060,1386,1386
"32",2014,2014,1386,2014,2014,3060,2014,1386,3060,411
"33",967,967,967,967,967,967,967,967,967,967
"34",3089,3089,1904,3007,1904,3007,1904,1904,3007,3007
"35",2219,1904,3089,3089,3089,2219,3089,2219,3089,3089
"36",3007,3007,3007,1904,3007,1904,3007,3007,1904,1904
"37",1904,2219,2219,2219,2219,3089,2219,3089,2219,2219
"38",661,661,2194,661,2194,1919,661,661,661,661
"39",2194,2194,1919,2194,1919,2194,2194,2194,2194,2194
"40",1919,1919,661,1919,661,661,1919,1919,1919,1919
"41",3044,3044,3044,3043,3044,3044,3044,1758,3044,3044
"42",1758,3043,1758,1758,3043,3043,1758,3043,1758,1758
"43",3043,1758,3043,3044,1758,1758,3043,3044,3043,3043
"44",2415,2415,2415,2415,2415,2415,2415,2415,2415,2415
"45",1671,1671,1005,713,713,1005,158,1671,1005,1671
"46",713,713,2828,2828,1492,1671,1671,713,713,2828
"47",2828,1492,1492,1492,1005,1492,1492,158,1492,1005
"48",1492,1005,158,1671,1671,158,1005,1492,1671,1492
"49",158,158,713,158,158,713,2828,2828,158,158
"50",1005,2828,1671,1005,2828,2828,713,1005,2828,713
"51",1421,1421,2895,1421,1145,1145,1145,1421,2895,1421
"52",2895,2895,1421,2895,2895,2895,2895,2895,1145,1145
"53",1145,1145,1145,1145,1421,1421,1421,1145,1421,2895
"54",70,2614,70,2614,70,2614,70,70,2614,70
"55",2614,70,2614,70,2614,70,2614,2614,70,2614
"56",337,2979,337,2979,337,2979,337,337,2979,2979
"57",2979,337,2979,337,2979,337,2979,2979,337,337
"58",2188,814,1188,2941,2026,1188,634,2188,814,1921
"59",96,298,2188,1955,1313,2026,1313,2026,2188,814
"60",2941,3185,160,1188,2188,1955,1188,96,298,2941
"61",1921,2188,1955,1921,298,3164,814,1313,1955,2188
"62",3164,2026,634,634,1188,96,2941,2941,3121,3121
"63",1281,116,1921,1281,3121,1921,1921,3121,96,1281
"64",2026,1921,2026,298,3164,634,3164,3164,1188,1188
"65",634,1955,3185,1313,160,298,3185,160,2026,298
"66",1313,1313,3164,96,814,3185,2026,1955,1281,2026
"67",814,1281,116,3164,2941,116,3121,298,2941,116
"68",3185,634,1313,3121,1281,160,298,3185,3185,160
"69",1188,96,814,2188,3185,2941,1281,1921,160,634
"70",298,1188,298,3185,96,1313,1955,1281,634,3185
"71",160,3164,2941,160,1921,2188,96,634,116,96
"72",1955,2941,96,2026,634,814,116,814,3164,3164
"73",116,3121,3121,814,116,1281,160,116,1313,1955
"74",3121,160,1281,116,1955,3121,2188,1188,1921,1313
"75",2054,29,2129,1292,1751,2054,1751,2482,2054,2008
"76",2627,2627,29,2627,2627,1292,29,29,29,2627
"77",29,2008,2008,2482,2482,1751,2482,2008,2482,29
"78",1292,1751,2054,2054,2054,2008,2008,2054,2008,2129
"79",2008,1292,1751,2129,2008,2482,1292,1751,1292,2054
"80",2482,2482,1292,1751,1292,2129,2129,1292,2129,2482
"81",1751,2054,2482,2008,2129,2627,2054,2129,1751,1751
"82",2129,2129,2627,29,29,29,2627,2627,2627,1292
"83",1332,1154,1609,2073,1795,1154,2660,2660,1590,1332
"84",2358,2580,2050,2660,1154,2358,1609,1795,2050,1609
"85",2660,2073,1332,1795,459,2050,1154,2073,1795,2580
"86",2580,2660,1154,2580,1948,1609,2073,2050,2073,1795
"87",1948,1609,459,459,2580,2073,1795,1332,2580,2073
"88",1590,2358,2358,2358,1590,1332,2358,2358,1154,1590
"89",1795,1590,1795,1154,1609,2580,2050,2580,2660,2358
"90",459,459,1590,1590,2660,2660,1948,459,1948,1948
"91",2073,1795,1948,2050,1332,1795,1332,1609,459,459
"92",2050,1332,2660,1948,2050,459,2580,1948,1609,2050
"93",1609,2050,2073,1332,2358,1590,459,1154,2358,1154
"94",1154,1948,2580,1609,2073,1948,1590,1590,1332,2660
"95",1509,2572,957,957,929,456,2572,1867,1664,1509
"96",685,685,456,1867,118,1382,957,597,957,2572
"97",2273,1867,118,597,2572,2324,929,1664,993,40
"98",2572,1664,465,1509,1509,685,118,2389,465,1867
"99",1867,737,2324,456,2389,118,685,2572,929,993
"100",1664,2389,1509,1664,456,465,2389,2324,597,465
"101",993,597,1382,1375,685,957,1375,1375,1867,118
"102",737,1375,2389,2389,2324,993,993,40,2324,929
"103",2389,929,2273,929,1664,1375,1664,929,2572,737
"104",118,957,1375,685,2273,40,2273,2273,2273,685
"105",929,993,737,737,993,737,2324,737,2389,456
"106",2324,465,1867,993,957,929,40,1382,40,2389
"107",456,1509,993,2572,1867,2389,465,456,1375,1375
"108",1382,118,929,2273,1382,1664,597,685,1382,1382
"109",1375,2324,40,2324,465,2572,1509,1509,685,2324
