"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"1",100,100,100,100,100,100,100,100,100,100
"2",1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
"3",1743,1743,1743,1743,1743,1743,1743,1743,1743,1743
"4",2091,2091,2091,2091,2091,2091,2091,2091,2091,2091
"5",2374,2374,2374,2374,2374,2374,2374,2374,2374,2374
"6",1404,1404,1404,1404,1404,1404,1404,1404,1404,1404
"7",306,306,1344,306,306,306,1344,306,1344,306
"8",1344,1344,306,1344,1344,1344,306,1344,306,1344
"9",2326,2326,2326,2326,2326,2326,2326,2326,2326,2326
"10",2647,2647,2647,2647,2647,2647,2647,2647,2647,2647
"11",1929,1929,1929,1929,1929,1929,1929,1929,1929,1929
"12",279,279,279,279,279,279,279,279,279,279
"13",286,286,286,286,286,286,286,286,286,286
"14",2227,2227,2227,2227,2227,2227,2227,2227,2227,2227
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2339,2339,2339,2339,2339,2339,2339,2339,2339,2339
"18",2490,2490,2490,2490,2490,2490,2490,2490,2490,2490
"19",1267,1267,1267,1267,1267,1267,1267,1267,1267,1267
"20",366,366,366,366,366,366,366,366,366,366
"21",1244,1244,1244,1244,1244,1244,1244,1244,1244,1244
"22",1846,1846,1846,1846,1846,1846,1846,1846,1846,1846
"23",2725,2725,2725,2725,2725,2725,2725,2725,2725,2725
"24",423,423,423,423,423,423,423,423,423,423
"25",1057,1057,1057,1057,1057,1057,1057,1057,1057,1057
"26",3053,3053,3053,3053,3053,3053,3053,3053,3053,3053
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",967,967,967,967,967,967,967,967,967,967
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",661,661,2194,2194,1919,1919,661,1919,2194,661
"39",1919,1919,661,1919,2194,2194,1919,2194,1919,1919
"40",2194,2194,1919,661,661,661,2194,661,661,2194
"41",3043,3043,3044,1758,3044,3043,3043,3043,3043,1758
"42",3044,1758,1758,3044,3043,3044,1758,3044,1758,3044
"43",1758,3044,3043,3043,1758,1758,3044,1758,3044,3043
"44",2415,2415,2415,2415,2415,2415,2415,2415,2415,2415
"45",1671,158,2828,158,2828,713,1005,713,2828,1492
"46",1005,1492,158,1671,158,1492,158,1492,1671,1005
"47",2828,2828,713,1005,1005,1005,1492,2828,1005,158
"48",713,713,1492,713,713,1671,2828,158,158,2828
"49",158,1671,1005,2828,1492,2828,713,1671,1492,1671
"50",1492,1005,1671,1492,1671,158,1671,1005,713,713
"51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",337,2979,2979,337,337,337,337,2979,337,337
"57",2979,337,337,2979,2979,2979,2979,337,2979,2979
"58",3185,298,2941,298,634,116,1921,298,2026,1188
"59",160,1921,1188,1313,1313,2026,814,1188,3164,814
"60",634,2026,2188,116,298,3185,116,1955,3185,3185
"61",1313,1955,814,634,3185,1313,634,1281,1955,160
"62",1281,3121,160,1281,160,1281,3121,96,634,116
"63",814,2188,1281,814,2188,1955,1955,1313,160,1281
"64",3164,1281,2026,2188,96,1188,2941,3121,1921,3121
"65",116,160,1313,96,3121,3121,1188,160,96,2026
"66",1955,3185,1955,1955,2026,160,3164,2188,2941,3164
"67",2941,814,634,3185,1921,96,1313,2941,2188,634
"68",2026,634,3185,3164,814,298,160,3164,298,1921
"69",96,2941,298,2026,1955,1921,96,634,3121,1313
"70",1188,96,3121,160,116,814,3185,2026,1188,2941
"71",3121,3164,96,1188,1188,3164,2026,1921,1313,298
"72",1921,1188,1921,2941,3164,2941,1281,3185,116,96
"73",298,1313,3164,1921,1281,634,2188,814,1281,2188
"74",2188,116,116,3121,2941,2188,298,116,814,1955
"75",2627,1751,2129,2129,2008,1751,29,1751,1751,1292
"76",2008,2129,2054,2482,2054,2627,2008,2627,29,2627
"77",1751,29,29,29,1292,2482,1292,1292,1292,2054
"78",2482,2008,1751,2627,2627,2129,2627,2129,2054,2129
"79",1292,1292,2008,2008,2482,2008,1751,29,2627,2008
"80",29,2627,2627,1751,1751,1292,2129,2054,2008,1751
"81",2129,2482,2482,1292,2129,2054,2054,2482,2482,2482
"82",2054,2054,1292,2054,29,29,2482,2008,2129,29
"83",1154,1795,1332,2580,1795,1332,459,2050,2073,459
"84",2580,1154,1154,1795,1948,2073,2050,1154,2660,1590
"85",459,1609,459,1332,1154,1590,2660,1795,1590,1332
"86",1590,1948,2073,2358,2660,1154,2073,1948,1154,1609
"87",2073,2580,2050,1609,2358,1795,1154,2073,1795,2660
"88",2050,459,2660,459,2580,459,2580,2660,1609,2050
"89",2358,2073,1609,2073,1332,2358,1795,2358,2358,1795
"90",1795,1590,1948,1154,1590,1609,1590,2580,1332,2358
"91",1948,2050,2358,2050,2050,2580,2358,1609,1948,2580
"92",1332,2358,1590,2660,1609,2050,1948,1332,2580,1154
"93",1609,2660,2580,1948,2073,1948,1332,459,459,1948
"94",2660,1332,1795,1590,459,2660,1609,1590,2050,2073
"95",118,993,737,957,929,737,2572,40,737,2572
"96",1382,2324,40,40,1382,685,40,118,1664,597
"97",957,118,2572,685,1375,1867,2389,1382,929,1509
"98",685,465,1509,1509,2572,40,1867,1867,685,465
"99",1664,929,456,2389,456,456,957,737,40,1664
"100",40,1664,929,118,1867,993,1509,597,597,456
"101",2389,1375,597,2273,1664,2389,685,2273,2273,1867
"102",465,957,1382,1867,1509,2572,993,2572,1509,2273
"103",993,1509,957,1382,993,1509,597,465,2389,2389
"104",737,40,685,465,2273,465,456,685,1375,993
"105",2572,737,1375,456,2389,597,1664,1375,456,685
"106",2273,597,2273,993,465,2273,1382,929,1867,40
"107",1375,2389,2324,737,118,2324,465,1509,2324,737
"108",929,2273,1664,1375,737,1382,2324,957,2572,118
